"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x83be1f8fe3f9fa60c4a84f9d291dad2a8a2f7fcc6b2a394a6a21f3ff03b2f32b","1617326701","2021-04-02 01:25:01","0x20bcc3b8a0091ddac2d0bc30f68e6cbb97de59cd","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","2.179321562468834742","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x83be1f8fe3f9fa60c4a84f9d291dad2a8a2f7fcc6b2a394a6a21f3ff03b2f32b","1617326701","2021-04-02 01:25:01","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x23bf90acd49932eb6705040d6ffb635b4ea7f108","10","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x9689591b57b838acbf64fefaa63fcaac3f8ef6e74ad173c604fdf2774a434b21","1617362927","2021-04-02 11:28:47","0x20bcc3b8a0091ddac2d0bc30f68e6cbb97de59cd","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","3.467191682623553522","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x9689591b57b838acbf64fefaa63fcaac3f8ef6e74ad173c604fdf2774a434b21","1617362927","2021-04-02 11:28:47","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x692062d2362b3defdeeec8ea996795707b6f068d","15.70765545591372799","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0xfd9e68d5dd1828164f62646591624efbca5f00317542c4c5dd4e9a46b131ba99","1617365646","2021-04-02 12:14:06","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","78","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0xfd9e68d5dd1828164f62646591624efbca5f00317542c4c5dd4e9a46b131ba99","1617365646","2021-04-02 12:14:06","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","298.363480595356589482","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x63c495578d972f339d4baec94f0b68e8df362a41590be6ad1d6a98a1d86a3c6a","1617365724","2021-04-02 12:15:24","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","92","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x63c495578d972f339d4baec94f0b68e8df362a41590be6ad1d6a98a1d86a3c6a","1617365724","2021-04-02 12:15:24","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","254.638796397942815516","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x685865a0cce8fbcd4a909df36ada4e063db6932952ab9d5b3a60e84d60977939","1617365976","2021-04-02 12:19:36","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","100","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x685865a0cce8fbcd4a909df36ada4e063db6932952ab9d5b3a60e84d60977939","1617365976","2021-04-02 12:19:36","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","202.463685161498253965","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0xba13fee3fb2a5acc969ad64b2e238e3ca55332dbf590a8789218dfbc18267bbf","1617366027","2021-04-02 12:20:27","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","100","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0xba13fee3fb2a5acc969ad64b2e238e3ca55332dbf590a8789218dfbc18267bbf","1617366027","2021-04-02 12:20:27","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","152.787659593634371722","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x6182b7c82aaf151cf2c9bc38eb7fef5131f606c37136e5febfeaf997fd1285ad","1617366054","2021-04-02 12:20:54","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","100","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x6182b7c82aaf151cf2c9bc38eb7fef5131f606c37136e5febfeaf997fd1285ad","1617366054","2021-04-02 12:20:54","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","119.400079818471875652","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x1e2cbcf7d64821f2dac3970492801e6146bd1d7410a08f389c52228792353c8a","1617366225","2021-04-02 12:23:45","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","100","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x1e2cbcf7d64821f2dac3970492801e6146bd1d7410a08f389c52228792353c8a","1617366225","2021-04-02 12:23:45","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","95.880770284181531757","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x013fb70ca55fc9bba3b907de9654619d7f1b4aad80f0331c2632ce2e6b3df7ef","1617366258","2021-04-02 12:24:18","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","100","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x013fb70ca55fc9bba3b907de9654619d7f1b4aad80f0331c2632ce2e6b3df7ef","1617366258","2021-04-02 12:24:18","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","78.689159215106717437","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0xe06817fcf57b37e2eeccab71b7cf6fe21ebaa437ddc75b982577061491c5b65e","1617366343","2021-04-02 12:25:43","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","120","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0xe06817fcf57b37e2eeccab71b7cf6fe21ebaa437ddc75b982577061491c5b65e","1617366343","2021-04-02 12:25:43","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","77.614554511555284564","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x2424f0e7372ff4547d7666a604f5224205884c3abd7521f7c7a3ae58d7efbb15","1617366855","2021-04-02 12:34:15","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","220.2","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
"0x2424f0e7372ff4547d7666a604f5224205884c3abd7521f7c7a3ae58d7efbb15","1617366855","2021-04-02 12:34:15","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","128.836370206033151169","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x29e74e5253d515160024a6b6718013b6b1065944d46a8d06de3ebdebf9a4f3a5","1617367347","2021-04-02 12:42:27","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","1,150.98504754454321063","0x530e9346870e632a63e8d461bb3c3622e00782de","Wrapped Zero","wZER"
"0x29e74e5253d515160024a6b6718013b6b1065944d46a8d06de3ebdebf9a4f3a5","1617367347","2021-04-02 12:42:27","0x3c554164eedbd860ddfda1d9bbe2e2960177cb0a","0xb374394aee78d2f42926b9eb040e248ee2ea67ec","1,967.199999999999999998","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BUSD-T","BUSD-T"
